ITEM_ID,NAME,CATEGORY,UNIT,UNIT_PRICE,UNIT_CURRENCY,SHELF_LIFE_DAYS,VENDOR_ID,IMAGE_URL
1,Nike Water Bottle,Accessories,36 Count Pack,4.280000000,USD,365,1,
2,Nike Duffel Bag,Accessories,20 Count Pack,7.030000000,USD,365,1,
3,Bottled Ice Tea,Accessories,20 Count Pack,11.080000000,USD,365,1,
4,Air Force 1 LV8 (Kids),Bags & Gear,100 Count Pack,71.100000000,USD,30,2,
5,Tanjun (Kids),Bags & Gear,100 Count Pack,36.410000000,USD,30,2,
7,Ice Cream,Bags & Gear,2 Quarts,5.350000000,USD,30,2,
8,Court Borough Low 2 (Kids),Apparel,20 Count Pack,14.670000000,USD,45,7,
9,Revolution 6 (Kids),Apparel,20 Count Pack,14.760000000,USD,45,7,
10,Fresh Squeezed Lemonade,Accessories,5 Gallons,2.420000000,USD,25,1,
12,Frozen Seitan Wings,Bags & Gear,60 Count Pack,28.590000000,USD,30,2,
18,White Bread,Footwear,1 Loaf,1.430000000,USD,14,6,
21,Bun,Footwear,50 Count Pack,17.990000000,USD,14,6,
28,Taco Shell,Footwear,100 Count Pack,7.080000000,USD,14,6,
32,Tortilla,Footwear,50 Count Pack,7.040000000,USD,14,6,
40,Cheddar,Tech Gear,3 Pound Block,10.640000000,USD,20,4,
41,Monterey Jack,Tech Gear,3 Pound Block,11.120000000,USD,20,4,
42,Swiss,Tech Gear,3 Pound Block,10.910000000,USD,20,4,
43,Pepper Jack,Tech Gear,3 Pound Block,10.670000000,USD,20,4,
44,Vegan Cheese,Tech Gear,3 Pound Block,10.720000000,USD,20,4,
46,Chicken Broth,Apparel,5 Gallons,3.570000000,USD,60,7,
47,Egg ,Apparel,100 Count Pack,35.380000000,USD,20,7,
57,Black Bean Burger,Performance,50 Burger Pack,18.580000000,USD,14,3,
14,Coconut Milk,Apparel,5 Can Pack,14.740000000,USD,365,7,
15,Canned Mango,Apparel,5 Can Pack,14.740000000,USD,365,7,
19,Beans,Apparel,5 Can Pack,3.710000000,USD,365,7,
58,Garbanzo Beans,Apparel,5 Can Pack,7.490000000,USD,365,7,
63,Garlic,Lifestyle,5 Pounds,3.580000000,USD,21,5,
67,All Beef Hot Dog,Performance,100 Hot Dog Pack,35.310000000,USD,30,3,
71,Sauerkraut,Lifestyle,5 Pounds,10.690000000,USD,15,5,
72,Pickles,Lifestyle,5 Pounds,3.610000000,USD,30,5,
75,Pita Bread,Footwear,50 Pita Pack,11.220000000,USD,14,6,
25,Raspberry Vinaigrette,Apparel,2 Quarts,7.440000000,USD,30,7,
64,Nutella,Apparel,2 Quarts,10.660000000,USD,60,7,
65,Syrup,Apparel,2 Quarts,10.730000000,USD,60,7,
73,Chili,Apparel,2 Quarts,7.430000000,USD,20,7,
74,Pork Green Chili,Apparel,2 Quarts,11.130000000,USD,20,7,
76,Hummus,Apparel,2 Quarts,7.790000000,USD,14,7,
81,Wonton,Apparel,100 Wonton Pack,7.380000000,USD,60,7,
13,White Rice,Apparel,25 Pounds,24.560000000,USD,60,7,
35,Brown Rice,Apparel,25 Pounds,25.440000000,USD,60,7,
82,Basmati Rice,Apparel,25 Pounds,25.820000000,USD,60,7,
83,Yogurt,Tech Gear,1 Gallon,3.560000000,USD,14,4,
86,Salami,Performance,5 Pounds,7.440000000,USD,21,3,
