review_id,order_id,product_id,customer_id,language,source,review_text,rating,review_date,verified_purchase
8,,6,1008,en,app,Decent Tech Fleece Hoodie. Nothing special but they're fine.,2.6,2024-05-03,True
9,,6,1009,en,app,Average Tech Fleece Hoodie. They're alright for the price.,3.7,2024-09-26,False
10,,7,1010,es,email,¡Fantásticas Dunk Low! Súper cómodas y se ven geniales.,5.0,2024-04-09,False
11,1227,6,1011,en,app,Excellent Tech Fleece Hoodie! Great value for money and superior comfort.,4.7,2024-10-08,True
12,,1,1012,en,website,Perfect Air Force 1 '07! Exactly what I was looking for. Great design and comfort.,4.6,2024-10-17,True
13,,4,1013,es,website,Perfectas Metcon 9! Justo lo que buscaba. Gran diseño.,4.8,2024-12-23,True
14,1913,1,1014,en,website,"Fantastic Air Force 1 '07! Comfortable, stylish, and well-made. Love them!",4.4,2024-02-22,False
15,,6,1015,en,app,Bad Tech Fleece Hoodie. Sizing is off and comfort is lacking.,2.2,2024-09-21,True
16,,1,1016,en,email,Terrible Air Force 1 '07! Overpriced and uncomfortable to wear.,1.9,2024-04-18,True
17,1114,5,1017,en,app,Excellent Air Jordan 1 Low! Great value for money and superior comfort.,5.0,2024-04-17,True
18,,2,1018,fr,social,Parfaites Air Max 90! Qualité exceptionnelle et bon ajustement.,4.8,2024-10-19,False
19,1412,4,1019,en,website,"These Metcon 9 are fine. Not great, not terrible.",3.8,2024-11-02,True
20,1511,5,1020,es,email,Terribles Air Jordan 1 Low. Mal ajuste y materiales baratos.,2.0,2024-04-08,True
21,1444,6,1021,fr,social,Incroyables Tech Fleece Hoodie! Exactement ce que je cherchais.,4.2,2024-11-07,False
22,,1,1022,en,email,Okay Air Force 1 '07. Could be better but acceptable.,2.6,2024-08-15,True
23,,5,1023,en,social,Beautiful Air Jordan 1 Low! Perfect for daily wear and very comfortable.,4.2,2024-03-01,True
24,1324,1,1024,es,social,Perfectas Air Force 1 '07! Justo lo que buscaba. Gran diseño.,4.3,2024-06-14,False
25,1945,7,1025,es,social,Estas Dunk Low están bien. Calidad y comodidad promedio.,3.2,2024-03-16,True
26,1744,6,1026,es,app,¡Fantásticas Tech Fleece Hoodie! Súper cómodas y se ven geniales.,5.0,2024-04-23,True
27,,4,1027,en,email,Okay Metcon 9. Could be better but acceptable.,3.5,2024-10-03,True
28,,7,1028,en,website,Average Dunk Low. They're alright for the price.,3.6,2024-09-10,True
29,1223,4,1029,en,email,Excellent Metcon 9! Great value for money and superior comfort.,4.8,2024-08-05,True
30,1540,7,1030,en,email,Amazing Dunk Low! Great quality and perfect fit. Worth every penny.,4.0,2024-12-28,True
31,,3,1031,es,app,Excelente Air Zoom Pegasus 40! Calidad superior y ajuste perfecto.,4.5,2024-06-16,False
